City_ID,City,Country,Date,Lat,Lng,Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain,Snow
123,Ruhengeri,RW,2020-02-23 03:10:18,-1.5,29.64,Clouds,overcast clouds,53.31,89,100,2.13,0.0,0.0
124,Diamantino,BR,2020-02-23 03:10:18,-14.41,-56.45,Clouds,overcast clouds,67.6,98,100,3.15,0.0,0.0
125,Sao Jose De Ribamar,BR,2020-02-23 03:10:18,-2.56,-44.05,Rain,light rain,75.2,94,75,11.41,0.0,0.0
126,Nanortalik,GL,2020-02-23 03:08:00,60.14,-45.24,Snow,snow,25.9,83,100,18.19,0.0,1.81
127,Atuona,PF,2020-02-23 03:05:45,-9.8,-139.03,Clear,clear sky,81.77,77,0,12.37,0.0,0.0
128,Ponta Do Sol,PT,2020-02-23 03:05:33,32.67,-17.1,Clouds,few clouds,70.0,72,20,20.8,0.0,0.0
129,Deputatskiy,RU,2020-02-23 03:10:19,69.3,139.9,Clouds,overcast clouds,-7.67,96,97,1.23,0.0,0.0
130,Smolenka,RU,2020-02-23 03:10:19,52.14,113.5,Clear,clear sky,21.2,62,6,6.71,0.0,0.0
131,Saldanha,ZA,2020-02-23 03:05:43,-33.01,17.94,Clear,clear sky,64.4,63,0,9.17,0.0,0.0
132,Tuatapere,NZ,2020-02-23 03:05:56,-46.13,167.68,Clouds,scattered clouds,61.0,77,40,15.01,0.0,0.0
133,Nome,US,2020-02-23 03:07:44,64.5,-165.41,Clouds,few clouds,-5.8,76,20,6.93,0.0,0.0
134,Santiago Del Estero,AR,2020-02-23 03:07:34,-27.8,-64.26,Clouds,scattered clouds,65.01,43,48,7.09,0.0,0.0
135,Ruidoso,US,2020-02-23 03:07:18,33.33,-105.67,Rain,moderate rain,59.0,66,75,13.87,2.03,0.0
136,Hilo,US,2020-02-23 03:07:00,19.73,-155.09,Clear,clear sky,80.6,54,1,10.29,0.0,0.0
137,Ribeira Grande,PT,2020-02-23 03:05:54,38.52,-28.7,Clear,clear sky,53.44,80,8,10.07,0.0,0.0
138,Knysna,ZA,2020-02-23 03:10:21,-34.04,23.05,Rain,light rain,59.0,87,70,3.36,0.25,0.0
139,Lazaro Cardenas,MX,2020-02-23 03:08:15,17.96,-102.2,Clear,clear sky,74.05,87,0,1.86,0.0,0.0
140,Luderitz,NA,2020-02-23 03:10:22,-26.65,15.16,Clear,clear sky,66.2,77,0,12.75,0.0,0.0
141,Bredasdorp,ZA,2020-02-23 03:05:53,-34.53,20.04,Clouds,few clouds,62.6,72,21,5.82,0.0,0.0
142,Mataura,NZ,2020-02-23 03:05:49,-46.19,168.86,Clouds,broken clouds,61.0,77,75,15.01,0.0,0.0
143,Poyarkovo,RU,2020-02-23 03:10:23,49.6,128.68,Clear,clear sky,16.25,84,0,4.59,0.0,0.0
144,Derzhavinsk,KZ,2020-02-23 03:10:23,51.1,66.32,Clouds,overcast clouds,21.06,94,100,2.3,0.0,0.0
145,Dunyapur,PK,2020-02-23 03:08:06,29.8,71.72,Mist,mist,57.2,87,0,3.4,0.0,0.0
146,Maniitsoq,GL,2020-02-23 03:10:24,65.42,-52.9,Clouds,overcast clouds,9.55,62,89,8.39,0.0,0.0
147,Nouadhibou,MR,2020-02-23 03:09:21,20.93,-17.03,Clouds,broken clouds,62.6,82,75,10.29,0.0,0.0
148,Srednekolymsk,RU,2020-02-23 03:05:43,67.45,153.68,Clouds,broken clouds,-17.55,93,54,1.54,0.0,0.0
149,Saint George,US,2020-02-23 03:05:37,37.1,-113.58,Rain,moderate rain,45.0,81,90,10.29,1.02,0.0
150,Qaanaaq,GL,2020-02-23 03:05:47,77.48,-69.36,Clouds,overcast clouds,-13.34,83,98,2.57,0.0,0.0
151,Yilan,TW,2020-02-23 03:10:25,24.76,121.75,Clouds,broken clouds,73.4,68,75,18.34,0.0,0.0
152,Samarai,PG,2020-02-23 03:10:25,-10.62,150.67,Rain,light rain,85.93,77,37,4.72,1.75,0.0
153,Capao Bonito,BR,2020-02-23 03:10:25,-24.01,-48.35,Clouds,broken clouds,59.77,88,55,8.88,0.0,0.0
154,Ossora,RU,2020-02-23 03:10:25,59.24,163.07,Clouds,few clouds,0.39,79,21,1.43,0.0,0.0
155,Nurlat,RU,2020-02-23 03:10:26,54.43,50.81,Clouds,scattered clouds,18.88,92,41,12.41,0.0,0.0
156,Aksu,CN,2020-02-23 03:08:14,41.12,80.26,Clear,clear sky,37.24,42,0,2.59,0.0,0.0
157,Mackay,AU,2020-02-23 03:10:26,-21.15,149.2,Clouds,overcast clouds,82.4,78,90,17.22,0.0,0.0
158,Hay River,CA,2020-02-23 03:10:26,60.82,-115.8,Clouds,broken clouds,6.8,77,75,2.24,0.0,0.0
159,Gaurnadi,BD,2020-02-23 03:10:27,22.97,90.23,Clouds,scattered clouds,77.83,37,27,2.59,0.0,0.0
160,Upernavik,GL,2020-02-23 03:05:39,72.79,-56.15,Clouds,scattered clouds,-13.61,91,42,2.84,0.0,0.0
161,Manuk Mangkaw,PH,2020-02-23 03:10:27,4.8,119.85,Clouds,overcast clouds,83.07,72,100,8.08,0.0,0.0
162,Tura,IN,2020-02-23 03:10:28,25.52,90.22,Clouds,overcast clouds,77.29,39,100,4.03,0.0,0.0
163,Cordoba,AR,2020-02-23 03:09:43,-31.41,-64.18,Clouds,broken clouds,64.0,82,57,10.29,0.0,0.0
164,Waitara,NZ,2020-02-23 03:10:28,-38.92,174.25,Rain,light rain,64.99,69,99,13.0,0.38,0.0
165,Baruun-Urt,MN,2020-02-23 03:10:28,46.68,113.28,Clouds,few clouds,18.61,81,14,6.42,0.0,0.0
166,Nikolskoye,RU,2020-02-23 03:10:28,59.7,30.79,Clouds,overcast clouds,39.2,84,90,15.66,0.0,0.0
167,Dikson,RU,2020-02-23 03:00:55,73.51,80.55,Snow,light snow,18.16,93,100,22.24,0.0,0.69
168,Faanui,PF,2020-02-23 03:05:54,-16.48,-151.75,Clouds,broken clouds,83.26,69,51,8.03,0.0,0.0
169,Tanhacu,BR,2020-02-23 03:10:29,-14.02,-41.25,Rain,light rain,77.5,82,100,2.71,1.69,0.0
170,Ixtapa,MX,2020-02-23 03:08:35,20.7,-105.2,Clouds,few clouds,78.8,83,20,6.93,0.0,0.0
171,Luanda,AO,2020-02-23 03:10:29,-8.84,13.23,Clouds,broken clouds,77.0,94,75,3.36,0.0,0.0
172,Esna,EG,2020-02-23 03:10:30,25.29,32.55,Clouds,overcast clouds,49.51,46,97,6.11,0.0,0.0
173,Segou,ML,2020-02-23 03:10:30,13.43,-6.22,Clear,clear sky,75.65,12,0,9.51,0.0,0.0
174,Obuasi,GH,2020-02-23 03:10:31,6.21,-1.66,Clouds,overcast clouds,76.87,91,86,1.63,0.0,0.0
175,Great Yarmouth,GB,2020-02-23 03:10:31,52.61,1.73,Rain,light rain,46.99,93,100,12.75,0.0,0.0
176,Lisa,RO,2020-02-23 03:10:32,43.8,25.13,Clouds,few clouds,35.6,80,20,6.93,0.0,0.0
177,Kodinsk,RU,2020-02-23 03:10:32,58.69,99.18,Clear,clear sky,14.36,91,0,2.21,0.0,0.0
178,Bandarbeyla,SO,2020-02-23 03:10:32,9.49,50.81,Clouds,broken clouds,76.69,75,61,17.36,0.0,0.0
179,Nurota,UZ,2020-02-23 03:07:08,40.56,65.69,Mist,mist,39.2,93,100,6.71,0.0,0.0
180,Hambantota,LK,2020-02-23 03:10:32,6.12,81.12,Clouds,broken clouds,78.8,94,75,11.41,0.0,0.0
181,Umm Lajj,SA,2020-02-23 03:10:33,25.02,37.27,Clouds,scattered clouds,57.76,50,44,6.24,0.0,0.0
182,Vila Franca Do Campo,PT,2020-02-23 03:10:33,37.72,-25.43,Clouds,broken clouds,57.2,76,75,5.82,0.0,0.0
183,Sur,OM,2020-02-23 03:08:19,22.57,59.53,Clear,clear sky,67.87,72,2,2.68,0.0,0.0
184,Pangnirtung,CA,2020-02-23 03:10:34,66.15,-65.71,Clouds,broken clouds,-33.81,95,56,3.78,0.0,0.0
185,Necochea,AR,2020-02-23 03:10:34,-38.55,-58.74,Clear,clear sky,53.01,94,0,4.0,0.0,0.0
186,Yulara,AU,2020-02-23 03:10:34,-25.24,130.99,Clear,clear sky,89.6,11,0,13.87,0.0,0.0
187,Airai,TL,2020-02-23 03:05:48,-8.93,125.41,Clear,clear sky,83.41,54,0,3.94,0.0,0.0
188,Chute-Aux-Outardes,CA,2020-02-23 03:10:35,49.12,-68.4,Clear,clear sky,30.2,86,1,26.4,0.0,0.0
189,Nazarovo,RU,2020-02-23 03:10:35,56.01,90.39,Clouds,broken clouds,12.42,95,63,2.13,0.0,0.0
190,Broome,US,2020-02-23 03:01:51,42.25,-75.83,Clear,clear sky,30.99,85,1,4.7,0.0,0.0
191,Kloulklubed,PW,2020-02-23 03:07:46,7.04,134.26,Clouds,overcast clouds,82.4,83,90,13.87,0.0,0.0
192,Ahipara,NZ,2020-02-23 03:10:36,-35.17,173.17,Clouds,few clouds,67.26,67,13,21.94,0.0,0.0
193,Platnirovskaya,RU,2020-02-23 03:10:36,45.4,39.38,Rain,light intensity shower rain,37.4,93,75,11.18,0.0,0.0
194,Alice Springs,AU,2020-02-23 03:10:36,-23.7,133.88,Clear,clear sky,91.4,13,0,14.99,0.0,0.0
195,Bengkulu,ID,2020-02-23 03:10:37,-3.8,102.27,Clear,clear sky,87.21,55,0,2.89,0.0,0.0
196,Longyan,CN,2020-02-23 03:10:37,25.11,117.02,Clouds,broken clouds,68.4,69,67,2.17,0.0,0.0
197,Ballina,AU,2020-02-23 03:07:38,-28.87,153.57,Rain,light rain,77.0,73,100,14.99,0.44,0.0
198,Los Llanos De Aridane,ES,2020-02-23 03:10:37,28.66,-17.92,Clouds,overcast clouds,73.4,46,100,14.99,0.0,0.0
199,Matagami,CA,2020-02-23 03:05:49,49.75,-77.63,Clouds,overcast clouds,33.8,64,90,8.05,0.0,0.0
200,Atar,MR,2020-02-23 03:05:38,20.52,-13.05,Clouds,overcast clouds,72.7,12,100,2.24,0.0,0.0
201,Alta,NO,2020-02-23 03:10:38,69.97,23.27,Clouds,few clouds,28.4,73,20,6.93,0.0,0.0
202,Koslan,RU,2020-02-23 03:10:38,63.46,48.9,Snow,light snow,30.58,87,100,17.85,0.0,0.25
203,Mahebourg,MU,2020-02-23 03:03:41,-20.41,57.7,Rain,shower rain,75.99,100,40,2.24,0.0,0.0
204,Ponta Delgada,PT,2020-02-23 03:10:39,37.73,-25.67,Clouds,broken clouds,57.2,76,75,5.82,0.0,0.0
205,Mount Isa,AU,2020-02-23 03:07:06,-20.73,139.5,Clouds,scattered clouds,89.6,52,40,12.75,0.0,0.0
206,Passo De Camaragibe,BR,2020-02-23 03:10:39,-9.24,-35.49,Clouds,few clouds,77.0,94,20,2.24,0.0,0.0
207,Vao,NC,2020-02-23 03:10:39,-22.67,167.48,Clear,clear sky,79.02,76,8,14.29,0.0,0.0
208,Taruma,BR,2020-02-23 03:10:40,-22.75,-50.58,Clouds,few clouds,65.23,91,21,6.44,0.0,0.0
209,Oldmeldrum,GB,2020-02-23 03:10:40,57.33,-2.32,Clouds,scattered clouds,37.4,59,33,17.22,0.0,0.0
210,Lompoc,US,2020-02-23 03:09:52,34.64,-120.46,Clouds,scattered clouds,57.2,76,40,4.7,0.0,0.0
211,Flinders,AU,2020-02-23 03:07:23,-34.58,150.86,Clouds,broken clouds,78.8,57,75,10.29,0.0,0.0
212,Lavrentiya,RU,2020-02-23 03:10:41,65.58,-171.0,Clear,clear sky,-15.34,94,0,4.21,0.0,0.0
213,Chokurdakh,RU,2020-02-23 03:05:37,70.63,147.92,Clouds,overcast clouds,-12.05,96,100,1.39,0.0,0.0
214,Balaghat,IN,2020-02-23 03:10:41,21.8,80.18,Clear,clear sky,73.45,54,0,2.08,0.0,0.0
215,Kyzyl-Suu,KG,2020-02-23 03:10:41,42.34,78.0,Clear,clear sky,29.95,59,0,6.51,0.0,0.0
216,Hithadhoo,MV,2020-02-23 03:10:42,-0.6,73.08,Clouds,overcast clouds,83.25,79,100,17.49,0.0,0.0
