City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
112,San Policarpo,PH,2020-02-17 03:14:39,12.18,125.51,79.63,83,13,11.63
113,Lososina,RU,2020-02-17 03:14:39,49.0,140.31,11.52,82,100,13.82
114,Putyatino,RU,2020-02-17 03:14:40,54.16,41.12,33.08,87,100,18.07
115,Meulaboh,ID,2020-02-17 03:14:40,4.14,96.13,80.29,80,0,5.26
116,Laguna,US,2020-02-17 03:14:40,38.42,-121.42,59.0,62,1,3.51
117,Ribeira Grande,PT,2020-02-17 03:14:40,38.52,-28.7,52.03,70,100,8.61
118,New Norfolk,AU,2020-02-17 03:14:41,-42.78,147.06,72.0,37,20,10.29
119,Florianopolis,BR,2020-02-17 03:10:43,-27.61,-48.5,80.6,88,75,8.05
120,Vaini,TO,2020-02-17 03:14:41,-21.2,-175.2,82.4,74,40,14.99
121,Denpasar,ID,2020-02-17 03:14:41,-8.65,115.22,82.4,94,75,6.93
122,Camacha,PT,2020-02-17 03:14:42,33.08,-16.33,62.6,82,40,6.93
123,Tiksi,RU,2020-02-17 03:14:42,71.69,128.87,-3.68,94,100,5.95
124,Odweyne,SO,2020-02-17 03:14:42,9.41,45.06,61.88,82,0,5.75
125,Preobrazheniye,RU,2020-02-17 03:14:42,42.9,133.91,17.67,76,100,13.53
126,Lavrentiya,RU,2020-02-17 03:14:42,65.58,-171.0,-1.89,93,100,12.73
127,Volnovakha,UA,2020-02-17 03:14:43,47.6,37.5,26.28,87,0,6.98
128,Fallon,US,2020-02-17 03:14:43,39.47,-118.78,51.8,45,1,10.29
129,Belaya Gora,RU,2020-02-17 03:14:43,68.53,146.42,-5.03,79,95,3.44
130,Andenes,NO,2020-02-17 03:14:43,69.31,16.12,35.6,93,99,6.93
131,Souillac,MU,2020-02-17 03:14:44,-20.52,57.52,78.8,69,75,8.05
132,Talnakh,RU,2020-02-17 03:14:44,69.49,88.4,12.2,85,40,22.37
133,Banyuwangi,ID,2020-02-17 03:14:44,-8.23,114.36,84.69,69,34,3.8
134,Batouri,CM,2020-02-17 03:14:44,4.43,14.37,65.5,29,100,4.07
135,Luderitz,NA,2020-02-17 03:14:44,-26.65,15.16,63.55,90,0,10.63
136,Ilulissat,GL,2020-02-17 03:14:45,69.22,-51.1,8.6,71,100,10.29
137,Hithadhoo,MV,2020-02-17 03:14:45,-0.6,73.08,83.68,73,1,8.03
138,Longyearbyen,SJ,2020-02-17 03:14:45,78.22,15.64,8.6,71,0,10.29
139,Dunmore Town,BS,2020-02-17 03:14:45,25.5,-76.65,74.59,78,0,9.46
140,Cidreira,BR,2020-02-17 03:14:46,-30.18,-50.21,76.59,87,46,24.43
141,Jaboticabal,BR,2020-02-17 03:14:46,-21.25,-48.32,71.6,94,90,12.75
142,Ezerelis,LT,2020-02-17 03:14:46,54.88,23.62,48.2,57,100,14.99
143,Egvekinot,RU,2020-02-17 03:14:46,66.32,-179.17,-18.38,92,93,14.61
144,Black River,JM,2020-02-17 03:14:46,18.03,-77.85,78.8,78,20,9.17
145,Krasnyy Chikoy,RU,2020-02-17 03:14:47,50.36,108.75,12.24,85,59,2.68
146,Bethel,US,2020-02-17 03:14:47,41.37,-73.41,37.99,64,75,4.88
147,Belyy Yar,RU,2020-02-17 03:14:47,53.6,91.39,-2.2,84,40,0.67
148,Tynda,RU,2020-02-17 03:14:48,55.17,124.72,7.21,91,100,3.65
149,Waddan,LY,2020-02-17 03:14:48,29.16,16.14,47.98,83,0,4.18
150,Les Cayes,HT,2020-02-17 03:14:48,18.2,-73.75,80.73,74,0,16.13
151,Barrow,US,2020-02-17 03:12:24,71.29,-156.79,-41.8,84,1,9.17
152,Khandyga,RU,2020-02-17 03:14:49,62.67,135.6,-9.26,94,100,2.24
153,Gudalur,IN,2020-02-17 03:14:49,9.68,77.27,71.71,74,4,2.98
154,Rio Grande,BR,2020-02-17 03:14:49,-32.03,-52.1,76.82,85,0,13.13
155,Riyadh,SA,2020-02-17 03:13:24,24.69,46.72,60.8,31,99,3.36
156,Alofi,NU,2020-02-17 03:14:50,-19.06,-169.92,84.2,74,91,23.04
157,Tazovskiy,RU,2020-02-17 03:14:50,67.47,78.7,1.85,96,99,10.11
158,Guerrero Negro,MX,2020-02-17 03:14:50,27.98,-114.06,62.47,67,62,12.03
159,Nakhon Phanom,TH,2020-02-17 03:14:50,17.41,104.78,73.99,53,0,10.29
160,Kahului,US,2020-02-17 03:10:06,20.89,-156.47,78.8,78,40,23.04
161,Dikson,RU,2020-02-17 03:14:51,73.51,80.55,12.65,93,100,20.18
